,review,aspect_terms,sentiment_score,sentiment_category
5438,"like  instant  messaging,  calling  and  collaboration  on  documents.",messaging documents,0.0,neutral
5439,For  the  next  step  is  using  chatbots  for  internal  use  to,step chatbots use,0.0,neutral
5440,for  external  use  on  internet,use internet,0.0,neutral
5441,to  help  our  clients.,clients,0.0,neutral
5442,Plays well with other Cisco collab products.,products,0.0,neutral
5443,"At  this  time,  we  are  currently  using  Cisco",time,0.0,neutral
5444,in  a  limited  scope.,scope,-0.071,negative
5445,"Our  IT  department  is  currently  using  it  internally,  and",department,0.0,neutral
5446,"to  some  extent,  external.",extent,0.0,neutral
5447,are  taking  advantage  of  the  built-in  Webex  functionality.,advantage functionality,0.0,neutral
5448,We  are  using  the  platform,platform,0.0,neutral
5449,throughout  the  organization,organization,0.0,neutral
5450,thereby  avoiding  the  transfer  to,transfer,0.0,neutral
5451,we  are  having  difficulties,difficulties,0.0,neutral
5452,with  the  option  of  joining  the  meetings  through  a  telephone,option meetings telephone,0.0,neutral
5453,we  are  very  satisfied,,0.5,positive
5454,with  the  functionality  of,functionality,0.0,neutral
5455,this  platform.----Estamos  utilizando  la  plataforma,,0.0,neutral
5456,de  trabajo  evitando,,0.0,neutral
5457,"Al  momento,  estamos",,0.0,neutral
5458,de  esta  plataforma.,,0.0,neutral
5459,Cisco Webex Teams Review.,teams,0.0,neutral
5460,We  use  Webex  Teams,teams,0.0,neutral
5461,communication  between  members  of,communication members,0.0,neutral
5462,the  same  department,department,0.0,neutral
5463,and  between  departments.,departments,0.0,neutral
5464,when  they  have  Webex,,0.0,neutral
5465,Teams  and  improve  the  end-customer  experience,teams experience,0.0,neutral
5466,This  enhanced  communication,communication,0.0,neutral
5467,helps  us  to  avoid  prolonged  waiting  time,,0.0,neutral
5468,human  and  technology  resources.,technology resources,0.0,neutral
5469,"in  our  department,  it  helps  us",department,0.0,neutral
5470,with  sharing  information  in  an  easy  way,information way,0.433,positive
5471,and  to  organize  differents,differents,0.0,neutral
5472,It  is  a  great  tool,tool,0.8,positive
5473,to  manage  your  team,team,0.0,neutral
5474,with  them  giving  feedback  on  their  tasks.,feedback tasks,0.0,neutral
5475,Putting projects in action with Webex Teams.,projects action teams,0.1,positive
5476,"entre  colaboradores,",,0.0,neutral
5477,"estudiantes  y  docentes,  especialmente",,0.0,neutral
5478,We  use  Webex  Teams  to  increase,teams increase,0.0,neutral
5479,and  improve  collaboration,collaboration,0.0,neutral
5480,"and  communication  between  collaborators,  such  as  students  and  teachers,  especially  on  multi-campus  projects.",communication collaborators students teachers projects,0.0,neutral
5481,It  helped  us  reduce  costs,costs,0.0,neutral
5482,the  progress  of  these  projects.,progress projects,0.0,neutral
5483,What a non technical admin thinks of Cisco Webex Teas.,admin,0.0,neutral
5484,across  the  whole  organization.,organization,0.2,positive
5485,to  be  a  valuable  asset,asset,0.0,neutral
5486,to  solve  communication,communication,0.0,neutral
5487,"such  as  corporate  chat,  ticketing  management  and  other  needs.",chat management,0.0,neutral
5488,"Webex: a formal and safe business environment for my team (Un entorno empresarial, formal y seguro para mi equipo de trabajo).",environment team,0.5,positive
5489,our  formal  business,business,0.0,neutral
5490,management  and  internal  and  external,management,0.0,neutral
5491,formal  communication.,communication,0.0,neutral
5492,for  internal  and  external  clients,clients,0.0,neutral
5493,and  means  of  sharing  and  documenting,sharing,-0.312,negative
5494,in  a  safe  and  efficient,,0.5,positive
5495,"with  real  and  extensive  history,  which  allows  finding  information",history information,0.0,neutral
5496,or  offline.-----Esta  herramienta  se,,0.0,neutral
5497,informacion  confidencial,,0.0,neutral
5498,",  que  permite  encontrar",,0.0,neutral
5499,o  offline Before Picking Webex Teams,teams,0.0,neutral
5500,", Consider Alternatives.",alternatives,0.0,neutral
5501,We  implemented  Cisco,,0.0,neutral
5502,across  our  whole  organization,organization,0.2,positive
5503,"We  implemented  it,  along",,0.0,neutral
5504,"for  some  users,  over  a  year  ago",users,0.0,neutral
5505,it  would  improve  communication,communication,0.0,neutral
5506,throughout  our  organization,organization,0.0,neutral
5507,well  as  between  us  and  our  business  partners.,partners,0.0,neutral
5508,Teams  provides  an  alternative  to  email  for  enabling  collaboration.,teams alternative email collaboration,0.0,neutral
5509,New exciting experience: Cisco Webex Teams.,experience teams,0.218,positive
5510,just  started  to  use  Cisco,,0.0,neutral
5511,"It  has  a  good  integration  with  Webex  application,",integration application,0.7,positive
5512,even  see  my  history  of  calls,history calls,0.0,neutral
5513,and  I  am  looking  forward,,0.0,neutral
5514,to  see  how  it  will  integrate  with  other  applications,applications,0.0,neutral
5515,for  Business  or  Microsoft  Teams.,business teams,0.0,neutral
5516,Efficiency in Webex Teams.,efficiency teams,0.0,neutral
5517,We  currently  use  Cisco,,0.0,neutral
5518,for  all  types  of  meetings  or,types meetings,0.0,neutral
5519,that  is  necessary  for  customers.,customers,0.0,neutral
5520,Cisco Webex Teams (formerly Cisco Spark) Review.,spark,0.0,neutral
5521,We  use  it  for  all  business  units,units,0.0,neutral
5522,for  meeting  support.,meeting support,0.0,neutral
5523,Webex  helps  us  to  interact  with  all  team  in  real  time.,team time,0.2,positive
5524,Cisco Webex Teams is the way to go..,teams way,0.0,neutral
5525,"As  an  end-user,  Cisco  Webex  really  makes  it  easy",user,0.317,positive
5526,to  share  information,information,0.0,neutral
5527,"in  a  new  agile  world,  securely  and  efficiently.",world,0.345,positive
5528,The  most  important  thing  is  that  it  allows  us  to  work  on  projects  end-to-end,thing work projects end,0.4,positive
5529,"within  a  single  collaborative  space,  including  sharing  documents,  having  great",collaborative space documents,0.364,positive
5530,"calls,  and  utilizing  an  amazing",calls,0.6,positive
5531,My experience using Webex.,experience,0.0,neutral
5532,to  collaborate  with  our  schools  and  faculties,schools faculties,0.0,neutral
5533,"in  other  locations  of  the  country,",locations country,0.0,neutral
5534,and  of  course  with  the  Cisco  team.,course team,0.0,neutral
5535,we  use  it  for  educational  purposes.,purposes,0.25,positive
5536,We  use  it  to  have  conferences  and,conferences,0.0,neutral
5537,with  our  students  and  record,students record,0.0,neutral
5538,A good tool for a good price.,tool price,0.7,positive
5539,"At  the  moment  the  whole  company,  uses  Cisco",moment company,0.2,positive
5540,the  difference  between  an,difference,0.0,neutral
5541,and  a  connected  one,,0.0,neutral
5542,can  be  approached  in  a,,0.0,neutral
5543,and  easily  addressed.,,0.433,positive
5544,Teams  promotes  collaboration,teams collaboration,0.0,neutral
5545,and  is  a  better  experience,experience,0.0,neutral
5546,"like  chat  bots,  creating  communities,  sending  advice  or  info.",chat bots communities advice info,0.0,neutral
5547,We  also  use  it  to  support,support,0.0,neutral
5548,tool  is  very  complete,tool,0.1,positive
5549,and  it  is  easy  to  use.,use,0.433,positive
5550,"Cisco Webex Teams (formerly Cisco Spark) Review. """,teams spark review,0.0,neutral
5551,"It s"",  an  excellent  tool",,1.0,positive
5552,we  use  to  provide  support  to  our  clients.,support clients,0.0,neutral
5553,Being  able  to  connect  with  our  clients,clients,0.5,positive
5554,remotely  has  saved  us,,-0.1,negative
5555,Does exactly what it's supposed to do.,,0.25,positive
5556,It  is  used  across  the  whole  organization.,organization,0.2,positive
5557,We  use  it  to  collaborate  with  colleagues  and  customers.,colleagues customers,0.0,neutral
5558,We  constantly  use  Teams,teams,0.0,neutral
5559,"for  IM,  voice  chats  and",voice,0.0,neutral
5560,My team wouldn't be the same without it.,team,0.0,neutral
5561,and  the  team  to  communicate,team,0.0,neutral
5562,external  customers  and  suppliers,customers suppliers,0.0,neutral
5563,that  is  simple  to  understand,,0.0,neutral
5564,and  allows  me  to  use  whatever  device,device,0.0,neutral
5565,to  see  the  same  content  and  capabilities.,content capabilities,0.0,neutral
5566,and  collaboration  across  and  between  enterprises,collaboration enterprises,0.0,neutral
5567,for  further  inter-operation,operation,0.0,neutral
5568,and  connectivity  between  them.,connectivity,0.0,neutral
5569,and  sharing  process,process,0.0,neutral
5570,Collaborate Completely withMy Cisco WebEx Teams.,teams,0.1,positive
5571,Teams  is  being  used  by  our  whole  Organization.,teams organization,0.2,positive
5572,we  were  using  the  legacy,legacy,0.0,neutral
5573,the  entire  group  or  Team,group team,0.0,neutral
5574,cannot  collaborate  in  real  time,,0.2,positive
5575,the  real  time  information.,time information,0.2,positive
5576,Teams  has  greatly  improved,teams,0.8,positive
5577,the  means  of  Collaborating  with  all  the  office,office,-0.312,negative
5578,and  also  with  external  people  who  do,people,0.0,neutral
5579,not  have  the  Web  Ex  Teams.,web teams,0.0,neutral
5580,Cisco Webex Teams Review.,teams,0.0,neutral
5581,Teams  is  used  in  our  organization,teams organization,0.0,neutral
5582,to  communicate  with,,0.0,neutral
5583,Most  of  the  uses  are  using  over  mobile,mobile,0.0,neutral
5584,for  effective  collaboration,collaboration,0.6,positive
5585,"""It s"",  now  easy  to  share  workspace  contents",workspace contents,0.433,positive
5586,and  keep  up  to  date,date,0.0,neutral
5587,with  all  the  latest  information  within  the  team  or,information team,-0.3,negative
5588,a  specific  group Very Good and Affordable Cloud-Based Collaboration Platform.,platform,0.35,positive
5589,and  collaboration  across  our  entire  organization,collaboration organization,0.0,neutral
5590,well  as  the  primary  proximity  tool  for,proximity tool,0.4,positive
5591,in  our  conference  rooms.,conference rooms,0.0,neutral
5592,It  has  greatly  enhanced,,0.8,positive
5593,both  the  one-to-one,,0.0,neutral
5594,well  as  Teams  Spaces,teams spaces,0.0,neutral
5595,teams  and  projects.,teams projects,0.0,neutral
5596,documents  and  materials,documents materials,0.0,neutral
5597,and  not  having  multiple  versions  of  documents,versions documents,0.0,neutral
5598,or  getting  external  resources,resources,0.0,neutral
5599,access  to  our  internal  systems.,access systems,0.0,neutral
5600,The  Webex  Teams  desktop  app,teams app,0.0,neutral
5601,the  need  for  computers,computers,0.0,neutral
5602,in  our  conference  and,conference,0.0,neutral
5603,to  provide  the  capability  of  using  proximity  to  control,capability proximity control,0.0,neutral
5604,and  the  ability  to  screen  share  from  our  laptops.,ability screen laptops,0.0,neutral
5605,Let's Colaborate on that with Webex Teams!.,teams,0.0,neutral
5606,To  collaborate  on  projects,projects,0.0,neutral
5607,chats  in  our  department.,chats department,0.0,neutral
5608,do  wish  more  of  our  company,company,0.0,neutral
5609,I  believe  it  is  a  great  tool,tool,0.8,positive
5610,for  collaboration  between  people,collaboration people,0.0,neutral
5611,"and  some  people ""don t"",  know",,0.0,neutral
5612,how  to  use  reply-all,reply,0.0,neutral
5613,and  the  discussion  chain,chain,0.0,neutral
5614,gets  lost  in  email.,email,0.0,neutral
5615,This  keeps  everything,,0.0,neutral
5616,and  the  ability  to  start,ability,0.0,neutral
5617,and/or  whiteboard  is  awesome!,whiteboard,1.0,positive
5618,An Industry Standard Collaboration Tool Built for Efficient Sharing and Engaging Communication.,tool sharing communication,0.2,positive
5619,My  organization  uses  Webex,organization,0.0,neutral
5620,the  more  nimble  admin  areas  of  the  company.,areas company,0.0,neutral
5621,a  great  collaborative,collaborative,0.8,positive
5622,that  enables  teams  from  across  different  skillsets  and  locations  to  work  together  in  real  time.,teams skillsets locations work,0.1,positive
5623,that  is  spread  throughout,,0.0,neutral
5624,"to  share  content,  ideas,  and  converse  face-to-face",content ideas face,0.0,neutral
5625,We  find  the  Webex  platform,platform,0.0,neutral
5626,for  working  together  internally  as  well,,0.0,neutral
5627,with  external  clients.,clients,0.0,neutral
5628,While  our  entire  organization  does  not  exclusively  use  Webex,organization webex,0.0,neutral
5629,"for  all  business  communication,  it  is  utilized  throughout  most",communication,0.0,neutral
5630,Teams  helps  solve  the  difficult  issue  of  large-scale  organizations,teams issue organizations,-0.5,negative
5631,that  have  many  locations,locations,0.5,positive
5632,throughout  the  world.,world,0.0,neutral
5633,"Overall,  our  organization  has  relied  on  the  proficiency  of  teams",organization proficiency teams,0.0,neutral
5634,and  the  nimble  collaborative,collaborative,0.0,neutral
5635,nature  of  the  platform,nature platform,0.0,neutral
5636,to  solve  our  modern  business  goals.,goals,0.2,positive
5637,Industry Leader Keeps Leading.,leader,0.0,neutral
5638,Teams  is  currently  being  used  by  my  organization,teams organization,0.0,neutral
5639,calling  and  collaboration.,collaboration,0.0,neutral
5640,"Currently,  it  solves  one  of",,0.0,neutral
5641,"our  biggest  business  issue  of  connecting  remote  employees,  customers,  and  clients  together.",issue employees customers clients,-0.05,negative
5642,Cisco  is  used  throughout,,0.0,neutral
5643,our  entire  organization,organization,0.0,neutral
5644,and  by  all  departments.,departments,0.0,neutral
5645,It  is  a  centralized  tool,tool,0.0,neutral
5646,and  with  any  type  of  client  device.,type device,0.0,neutral
5647,Working tool for online meetings.,tool meetings,0.0,neutral
5648,We  have  tried  quite,,0.0,neutral
5649,for  online  meetings,,0.0,neutral
5650,and  Cisco  Webex  Teams  is  the  best  of  these.,teams,1.0,positive
5651,The  quality  and  ease  of,quality ease,0.0,neutral
5652,the  tool  is  far  better  than,tool,0.3,positive
5653,work Too many offerings.,offerings,0.5,positive
5654,Teams  (formerly  Cisco  Spark)  is  being  used  by  our  organization  for  collaboration.,teams spark organization collaboration,0.0,neutral
5655,"Our  entire  organization  uses  it  for  video  meetings  as  necessary,  sending  group  messages,  and  sharing  files.",organization video meetings group messages files,0.0,neutral
5656,"Know your limits with Webex Teams, and it will treat you well.",limits teams,0.0,neutral
5657,Teams  to  host  distributed  meetings  for  staff,teams host meetings staff,0.0,neutral
5658,and  to  hold  distance,distance,0.0,neutral
5659,can  connect  to  the  classroom  remotely.,classroom,-0.1,negative
5660,our  users  are  still  using  other  products,users products,0.0,neutral
5661,such  as  Adobe  Connect  for,,0.0,neutral
5662,specific  use  cases.,cases,0.0,neutral
5663,"However,  the  majority  of  our  users",users,0.0,neutral
5664,when  a  simple  room  to  room,room,0.0,neutral
5665,will  not  be  sufficient.,,0.0,neutral
5666,Helps Your Teams Collaborate.,teams,0.0,neutral
5667,primarily  being  used  to  integrate  with  the  Cisco,,0.4,positive
5668,"Webex  Spark  Boards,  as  well  as  to  provide  (and  replace  the  existing)  teleconferencing  solution.",boards teleconferencing solution,0.0,neutral
5669,"While ""we re"",  still",,0.0,neutral
5670,the  process  of  rolling  out,process,0.0,neutral
5671,"users,  the  few  early",users,0.1,positive
5672,have  started  using  it  for,,0.0,neutral
5673,sharing  functionality  to  better,functionality,0.5,positive
5674,collaborate  over  distance.,distance,0.0,neutral
5675,"""It s"",  currently  configured  on  a  single  user",user,-0.036,negative
5676,"For  these  specific  users,  they  have  the  ability  to  dial  PSTN",users ability,0.0,neutral
5677,Webex  Teams  client.,client,0.0,neutral
5678,The  voicemail  service,voicemail service,0.0,neutral
5679,also  comes  from  our  on-prem,prem,0.0,neutral
5680,Cisco Webex Teams Review.,teams,0.0,neutral
5681,"For  each  project,  we  create  a  new  team",project team,0.136,positive
5682,and  all  the  members  communicate  under  one  umbrella.,members umbrella,0.0,neutral
5683,Simply the BEST collaboration alternative.,alternative,1.0,positive
5684,"""It s"",  a  daily  tool  to",tool,0.0,neutral
5685,and  a  lot  of  clients  and  providers.,clients providers,0.0,neutral
5686,"We  collaborate  by  sharing  screens,",screens,0.0,neutral
5687,"audio,  video  conferencing.",conferencing,0.0,neutral
5688,is  improving  as  fast,,0.2,positive
5689,as  the  cloud  develops  itself.,cloud,0.0,neutral
5690,The  usual  improvement,improvement,-0.25,negative
5691,Webex Teams is the application I did not know I needed until I used it.,application,0.0,neutral
5692,has  been  using  Webex,,0.0,neutral
5693,"for  more  than  4  years,",years,0.0,neutral
5694,only  been  in  the  office,office,0.0,neutral
5695,for  3  years  using  Teams.,years teams,0.0,neutral
5696,We  originally  used  Teams,teams,0.375,positive
5697,when  it  was  branded  as,,0.0,neutral
5698,We  have  soft-launched,,0.0,neutral
5699,students  and  staff/faculty,students faculty,0.0,neutral
5700,and  will  be  doing  a  full  launch,launch,0.35,positive
5701,This  allows  for  Presence,presence,0.0,neutral
5702,which  are  the  best  parts.,parts,0.7,positive
5703,"In  addition,  Teams  integrates  tightly  with  Webex  Meetings,  allowing  recording",addition teams meetings recording,-0.179,negative
5704,and  joining  your  Meetings,meetings,0.0,neutral
5705,well  with  video  calling  for  office  meetings,video office meetings,0.0,neutral
5706,and  also  has  additional  capabilities,capabilities,0.0,neutral
5707,"to  utilize  SIP  calling,  allowing  Teams  to  work  in  our  traditional  videoconference  environment.",calling teams work environment,0.0,neutral
5708,A great collaboration tool for teams.,tool teams,0.8,positive
5709,have  been  using  Cisco,,0.0,neutral
5710,within  our  Support  Team,team,0.0,neutral
5711,"since  it  was  originally  Project  Squared,  right",project,0.33,positive
5712,"the  Cisco  Spark  days,",spark,0.0,neutral
5713,We  use  it  to  collaborate,,0.0,neutral
5714,and  share  information,information,0.0,neutral
5715,each  other  to  troubleshoot,,0.0,neutral
5716,and  discuss  end-user,user,0.0,neutral
5717,with  equipment  and  services,equipment services,0.0,neutral
5718,communicate  with  some  of  our  external  suppliers  to  easily,suppliers,0.217,positive
5719,and  receive  quotations,quotations,0.0,neutral
5720,for  work  or  equipment.,work equipment,0.0,neutral
5721,This  allows  us  to  be  much  more  responsive,,0.2,positive
5722,and  get  information,information,0.0,neutral
5723,between  people  or  companies  very  quickly,people companies,0.333,positive
5724,"and  easily,  from  any  device",device,0.433,positive
5725,"(Phone,  Laptop,  Tablet,  etc).",laptop tablet,0.0,neutral
5726,"Cisco Webex Teams, the best collaborative cloud platform..",teams platform,0.7,positive
5727,"Teams  is  being  used  by  the  entire  company,  from  the  president  to  the  receptionist.",teams company president receptionist,0.0,neutral
5728,The  company  decided  to  have  Cisco,company,0.0,neutral
5729,that  all  the  collaborators  are  connected,collaborators,0.0,neutral
5730,"and  so  that  everyone ""isn t"",  using  different  tools.",tools,0.0,neutral
5731,"It  allows  us  to  communicate,  share  information",,0.0,neutral
5732,or  receive  a  call.,call,0.0,neutral
5733,Huge fan of Webex Teams!.,fan teams,0.4,positive
5734,the  entire  organization,organization,0.0,neutral
5735,that  we  can  communicate  more  effectively.,,0.6,positive
5736,We  use  it  for  quick  communications  between  2,communications,0.333,positive
5737,"people,  groups,  as  well  as  the  entire  company.",people groups company,0.0,neutral
5738,that  are  for  specific  communications.,communications,0.0,neutral
5739,"For  example,  one  space  is  specifically  for  Mac",example space,0.0,neutral
5740,and  another  for  PC,pc,0.0,neutral
5741,users  created  by  the  IT  team.,users team,0.0,neutral
5742,and  office  has  its  own  space.,office space,0.0,neutral
5743,Review of Cisco Webex Teams.,review teams,0.0,neutral
5744,Teams  is  used  for  the  moment,teams moment,0.0,neutral
5745,mainly  in  my  department,department,0.167,positive
5746,and  is  getting  rolled  out  to  more,,0.0,neutral
5747,and  more  departments.,,0.0,neutral
5748,Besides  the  standard,standard,0.0,neutral
5749,"Webex  Teams  client,  we  are",client,0.0,neutral
5750,"services  like  Calendar  Connector,  Hybrid",services calendar connector hybrid,0.0,neutral
5751,for  interoperability,interoperability,0.0,neutral
5752,the  bandwidth  usage.,usage,0.0,neutral
5753,to  make  the  communication,communication,0.0,neutral
5754,more  persistent  and  flexible,,0.0,neutral
5755,compared  to  other  solution.,solution,0.0,neutral
5756,We  use  it  mainly  for  managing  incidents  or  projects  with  externals  to  streamline  communication  and  meetings.,incidents projects externals communication meetings,0.083,positive
5757,Great collaboration tool for every team.,tool team,0.8,positive
5758,"""We ve"",  used  Webex",,0.0,neutral
5759,in  for  collaboration,collaboration,0.0,neutral
5760,"within  our  department,  and",department,0.0,neutral
5761,starting  the  rollout,rollout,0.0,neutral
5762,Teams  eliminates  75%  of,teams %,0.0,neutral
5763,with  faster  responses  from  colleagues.,responses colleagues,0.2,positive
5764,"Also,  working  on  our  customer",customer,0.0,neutral
5765,site  is  now  more  effective,site,0.6,positive
5766,to  bring  information  to,information,0.0,neutral
5767,the  project  manager,project manager,0.0,neutral
5768,Short review from a Webex Teams user..,review user,0.0,neutral
5769,Teams  is  being  used  for  communication  with  Cisco,teams communication,0.0,neutral
5770,and  our  Cisco  partner.,partner,0.0,neutral
5771,Also  we  use  it  to  keep  in  touch  during,touch,0.0,neutral
5772,and  after  Cisco  Live  events.,,0.136,positive
5773,It  has  not  been  deployed  to,,0.0,neutral
5774,"users,  however  usage  has  increased  within  our  company  organically.",users usage company,0.0,neutral
5775,Cisco Spark vs. Cisco Jabber.,spark,0.0,neutral
5776,Spark  is  currently  available,,0.4,positive
5777,across  the  whole  organization.,organization,0.2,positive
5778,Although  it  is  not  used  by,,0.0,neutral
5779,it  serves  to  connect  the  entire  company  through  instant  messaging.,company messaging,0.0,neutral
5780,It  is  also  connected  with  Outlook  and,outlook,0.0,neutral
5781,that  it  is  easy  to  connect  with  other  individuals.,individuals,0.217,positive
5782,"Sometimes,  you  just  need",,0.0,neutral
5783,to  connect  with  someone  in,,0.0,neutral
5784,way  than  an  e-mail.,way mail,0.0,neutral
5785,Spark  is  a  solution  to  that  need.,solution,0.0,neutral
5786,Wireless for everyone!.,wireless,0.0,neutral
5787,You can rely on Cisco WiFi.,wifi,0.0,neutral
5788,Cisco  2800  Series Cisco Unified Communications Manager Review.,series review,0.0,neutral
5789,We  use  Cisco  Unified,,0.0,neutral
5790,Communications  Manager,manager,0.0,neutral
5791,our  telephony  devices,devices,0.0,neutral
5792,"like  i  Phones,  telepresence  rooms,",phones rooms,0.0,neutral
5793,"desktop  video  devices,  analog",video devices analog,0.0,neutral
5794,We  use  it  in  our  company,company,0.0,neutral
5795,and  in  new  implementations,implementations,0.136,positive
5796,with  our  customers.,customers,0.0,neutral
5797,This  specific  server,server,0.0,neutral
5798,portfolio  is  the  one,,0.0,neutral
5799,a  lot  of  custom  features,lot custom,0.0,neutral
5800,to  make  IP  telephony,telephony,0.0,neutral
5801,the  lack  of  communication,lack communication,0.0,neutral
5802,"with  all  your  partners,  keeping  them  all  together.",partners,0.0,neutral
5803,"if you want everything plus the kitchen sink, you want it on-prem",sink prem,0.0,neutral
5804,We  use  CUCM  on-premise  as  our  voice  over  IP,cucm premise voice ip,0.0,neutral
5805,"solution,  sometimes  others",solution others,-0.125,negative
5806,"will  refer  to  it  as  a  ""PBX""  or  ""voice  services""  software.",software,0.0,neutral
5807,to  provide  telephony  across  the  entire  enterprise.,telephony enterprise,0.0,neutral
5808,"controls,  at  least  in  part,",controls part,-0.3,negative
5809,of  the  other  communications  components,components,0.0,neutral
5810,"such  as  our  voicemail,  emergency  call  handling,  audio  conferencing,",voicemail emergency call conferencing,0.0,neutral
5811,"teleconferencing  and  video  calling,",teleconferencing video,0.0,neutral
5812,"with  CUCM  being  the  ""conductor"".",cucm conductor,0.0,neutral
5813,It  enables  us  to  make  phone,phone,0.0,neutral
5814,calls  to  each  other,calls,0.0,neutral
5815,"and  the  rest  of  the  world,",world,0.0,neutral
5816,"just  like  an  analog  phone,  except",phone,0.0,neutral
5817,"can  include  extra  stuff  other  than  sound,  such  as  video.",stuff sound video,0.2,positive
5818,Cisco Unified Communications Manager - Your system can grow with your business.,manager system business,0.0,neutral
5819,Communications  Manager,manager,0.0,neutral
5820,(Call  Manager)  (CUCM),cucm,0.0,neutral
5821,"was  used  by  our  company  internally,  as  well",company,0.0,neutral
5822,as  solutions  provided  to  our  customers.,solutions customers,0.0,neutral
5823,"It  addressed  the  issue  of  all  communications,  including",issue communications,0.0,neutral
5824,"calls,  company  wide",calls company,-0.1,negative
5825,"It  provides,  phone,  video,",phone video,0.0,neutral
5826,"automated  attendant,",attendant,0.2,positive
5827,"toll  bypass,  desktop  chat,  and  mobile",toll bypass mobile,0.0,neutral
5828,Most powerful VOIP solution.,solution,0.3,positive
5829,Communication  Manager,manager,0.0,neutral
5830,(  Call  Manager  )  is  being  used  across  our  whole  organization,organization,0.2,positive
5831,to  handle  the  collaboration  between  employees,collaboration employees,0.0,neutral
5832,We  used  it  as  a  call  manager,call,0.0,neutral
5833,"Phones  and  using  it  for  instant  messaging,",phones messaging,0.0,neutral
5834,"presence,  and  Jabber",presence jabber,0.0,neutral
5835,"Also, ""it s"",  responsible  for  communication  between  our  branches.",communication branches,0.2,positive
5836,Cost-effective Solution.,solution,0.0,neutral
5837,Communications  is  being  used  across  the  whole  organization.,communications organization,0.2,positive
5838,It  allows  any  employee  to,employee,0.0,neutral
5839,"easily  communicate  to  peers  fast,",peers,0.317,positive
5840,and  with  high  quality.,quality,0.16,positive
5841,"and  interact  with  each ""office s"",",s,0.0,neutral
5842,local  infrastructure.,infrastructure,0.0,neutral
5843,"has  been  very  simple,",,0.0,neutral
5844,without  having  any  outstanding  items  during  implementation.,items implementation,0.5,positive
5845,"to  migrate  50-100 ""users "",  offices.",users offices,0.0,neutral
5846,Cisco Unified Communications Manager Review.,review,0.0,neutral
5847,I  used  CUCM  until  some  months,,0.0,neutral
5848,in  a  strategic  consultancy  firm,consultancy firm,-0.2,negative
5849,"and  with  many  customers  within  Chile,  Argentina,  and  Bolivia.",customers,0.5,positive
5850,being  used  by  all  external  consultants,consultants,0.0,neutral
5851,and  the  operative  teams,teams,0.0,neutral
5852,within  the  customers.,customers,0.0,neutral
5853,There  were  very  few  business,business,0.0,neutral
5854,and  we  were  very  happy,,0.8,positive
5855,with  this  solution.,solution,0.0,neutral
5856,but  the  issues  were  always  related  to  connectivity  or  network.,issues connectivity network,0.0,neutral
5857,"It  is  not  a  ""cheap""  solution",solution,-0.2,negative
5858,and  the  quality  of  the  product  was  more  than  satisfactory.,quality product,0.0,neutral
5859,If  the  meeting  has  more  than  199  attendees  you,meeting attendees,0.0,neutral
5860,will  not  be  able  to  attend  the  call.,call,-0.25,negative
5861,of  the  employees  of  the  college.,employees college,0.0,neutral
5862,We  have  just  over  500,,0.0,neutral
5863,handsets  on  campus.,handsets campus,0.0,neutral
5864,"on  their  smartphones,  where",smartphones,0.0,neutral
5865,"not  have  cell  coverage,",coverage,0.0,neutral
5866,but  they  can  get  a  wifi,wifi,0.0,neutral
5867,Cisco Unified Communications Manager - VoIP Phone Solution on Steroids.,manager solution steroids,0.0,neutral
5868,We  use  Cisco  Unified  Communications  Manager  across  our  entire  organization.,communications manager organization,0.0,neutral
5869,"and  about  1,200  phones  and  users.",phones users,0.0,neutral
5870,This  allows  for  easy,,0.433,positive
5871,dialing  between  offices,offices,0.0,neutral
5872,and  provides  organization,organization,0.0,neutral
5873,messaging  and  presents.,messaging presents,0.0,neutral
5874,The  system  also  allows  us  to  receive  calls  originating  from  location,system calls location,0.0,neutral
5875,and  answer  from  another,,0.0,neutral
5876,to  provide  better  coverage  between  departments  and  regions.,coverage departments regions,0.0,neutral
5877,Another great communication tool from Cisco!.,tool,0.8,positive
5878,Communications  Manager,manager,0.0,neutral
5879,is  being  used  at  my  organization,organization,0.0,neutral
5880,for  communicating  within  our  organization,organization,0.0,neutral
5881,"that  are  external  to  our  organization,  including  vendors,  third  parties,  or  clients.",organization vendors,0.0,neutral
5882,software  is  being  used  across  the  whole  organization.,software organization,0.2,positive
5883,is  that  it  allows  seamless  communication  within,communication,0.1,positive
5884,throughout  the  entire  organization.,organization,0.0,neutral
5885,I  believe  it  was  about  5,,0.0,neutral
5886,when  they  changed  to  Cisco,,0.0,neutral
5887,and  we  got  new  phones.,phones,0.136,positive
5888,to  log  into  your  voicemail  (or,voicemail,0.0,neutral
5889,even  your  extension),extension,0.0,neutral
5890,from  a  different  phone,phone,0.0,neutral
5891,if  you  need  to  move.,move,0.0,neutral
5892,"how ""it s"",  connected  to  Jabber",jabber,0.0,neutral
5893,or  make  calls  from  my  computer,calls computer,0.0,neutral
5894,"if ""I m"",  away  from  a  phone  set.",phone set,0.0,neutral
5895,"""It s"",  pretty  easy",,0.342,positive
5896,has  a  nice  display.,display,0.6,positive
5897,"For  our  adjunct  faculty,  it  is  nice",faculty,0.6,positive
5898,they  can  log  into  the  phone,phone,0.0,neutral
5899,and  then  log  off  when,log,0.0,neutral
5900,"they  are  gone,  since",,0.0,neutral
5901,they  use  shared  space,space,0.0,neutral
